Citing Paper Title,Year,Extracted Passage,LLM Classification,Rationale
Teaching Theorizing in Software Engineering Research,2024,"4 Klaas-Jan Stol 1.2 Overview of this Chapter This chapter draws on insights from other fields, in particular Information Systems (IS), to recast the discussion from “theory in SE” to “theorizing in SE.” Specifically, this chapter is organized around 12 intermediate products of theorizing identified by Hassan et al. [47].",methodological,"The citation passage uses the target paper's framework (the 12 intermediate products of theorizing) as a methodology to organize its own chapter, without expressing any agreement or disagreement with the original claims."
Teaching Theorizing in Software Engineering Research,2024,"3.1 Question A starting point to frame or position a topic or phenomenon of interest is to ask questions. Hassan et al. [47] pointed out that “a discipline is defined by the set of questions it asks.” Different disciplines can ask related questions pertaining to the same phenomenon, but depending on the discipline, different concepts, methods, and tools are likely to be used to answer those questions.",extending,"The citing text builds upon the target paper's idea that a discipline is defined by the set of questions it asks, applying this concept to frame or position a topic or phenomenon of interest in information systems theorizing."
Teaching Theorizing in Software Engineering Research,2024,"4.1 Myth A myth is an unquestioned belief that is not supported by evidence or fact [118], or “A dramatic narrative of imagined events, usually used to explain origins or transformations of something” [50]. Hassan et al. [47] argued that myths are theory generators because “they can help uncover unquestioned assumptions within existing belief systems and theories.” Myths help researchers to focus their research, to question whether the myth is true or not, and if not, pursuing an answer to the question what the truth then might be.",extending,"The citing text builds upon Hassan et al.'s [47] idea that myths are theory generators by elaborating on how myths can help researchers focus their research and question unquestioned assumptions, thereby extending the original concept."
Teaching Theorizing in Software Engineering Research,2024,"[123] succinctly describe that “in software engineering, a model is an abstraction of a running system.” This approach to software engineering is better known as Model Driven Engineering (MDE).16 Renowned theorist Robert Dubin equated the term ‘model’ to mean ‘theory,’ though acknowledged that not everybody agrees with this view [35]. In this chapter, following Hassan et al. [47], I use the term ‘model’ not to refer to a theory, but as an intermediate product of theorizing.",extending,"The citation passage builds upon the target paper's concept of ""model"" and applies it to software engineering, specifically Model Driven Engineering (MDE), while also clarifying its meaning in the context of theorizing."
Teaching Theorizing in Software Engineering Research,2024,"Constructs, in contrast, are used to bring concepts to life, to operationalize them through some form of measurement. Hassan et al. [47] summarize that “constructs are attempts to make concepts less ‘abstract’ even though constructs are abstractions of concepts.” Not all concepts are measurable, and therefore it is not always possible to define meaningful constructs for a concept.",contrasting,"The citation passage explicitly contrasts the idea that constructs operationalize abstract concepts with Hassan et al.'s [47] summary, highlighting the limitations of making all concepts measurable."
Teaching Theorizing in Software Engineering Research,2024,"In this context, the term statement does not refer to just any sequence of grammatically ordered words [47]. Instead, it should be seen as an expression that makes sense within a given scientific discipline, i.e. it is relevant to what Hassan et al. [47], citing Foucault [38], refers to as scientific communication that makes up a discourse.",supporting,"The citation passage agrees with the target paper's perspective by elaborating on the concept of ""statement"" and its relevance within a scientific discipline, thereby validating the target paper's ideas."
Teaching Theorizing in Software Engineering Research,2024,"Teaching Theorizing in Software Engineering Research 25 A special type of statement is a proposition, which can be described as a “truth statement,” a “prediction” [35], or assertions about concepts [47]. Hassan et al. [47] distinguish different types of propositions, depending on the type of assertion.",extending,"The citing text builds upon and applies the concept of propositions from Hassan et al.'s work to a new context (teaching theorizing in software engineering research), demonstrating an extension of their ideas."
Teaching Theorizing in Software Engineering Research,2024,"To highlight the value of these theorizing products, I now demonstrate how theorizing takes place within the software architecture field, an area of research that is firmly rooted within the SE domain. I adopt Hassan et al.’s approach [47] to illustrate how studies move the field forward by leveraging one theorizing product, to move to another theorizing product (Fig. 6).",extending,"The citing text builds upon Hassan et al.'s approach [47] and uses it as a tool to illustrate how studies move the field forward, which is an extension of their original work."
Teaching Theorizing in Software Engineering Research,2024,"IEEE Internet Computing 3(4), 95–96 (1999) 47. Hassan, N.R., Lowry, P.B., Mathiassen, L.: Useful products in information systems theorizing: A discursive formation perspective. Journal of the Association for Information Systems 23(2) (2022) 48.",methodological,"The citation passage is simply listing the target paper as a reference, without any evaluative or interpretive language that would suggest supporting, contrasting, or extending relationships."
Teaching Theorizing in Software Engineering Research,2024,"Journal of the Association for Information Systems 23(2) (2022) 48. Hassan, N.R., Mathiassen, L., Lowry, P.B.: The process of information systems theorizing as a discursive practice. Journal of Information Technology 34(3), 198–220 (2019) 49.",methodological,"This citation passage is simply referencing the target paper's methodology or framework, specifically citing it as a source of inspiration for their own research, without expressing any agreement, disagreement, or extension of its ideas."
