Citing Paper Title,Year,Extracted Passage,LLM Classification,Rationale
Advancing sustainable development goals through multilingual text summarization: A transformer-based approach,2026,"This shift was further strengthened by the introduction of attention mechanisms (Bahdanau et al., 2015; Luong et al., 2015), which improved contextual modeling and long-range dependency capture (Vaswani et al., 2017).",supporting,The citation passage agrees with the target paper's claims by highlighting the importance of attention mechanisms in improving contextual modeling and long-range dependency capture.
Advancing sustainable development goals through multilingual text summarization: A transformer-based approach,2026,"Early ATS methods mainly relied on extractive techniques that selected key sentences from the source text (Bahdanau et al., 2015; Sutskever et al., 2014; Vaswani et al., 2017).",supporting,The citation passage agrees with the target paper's claim that early ATS methods relied on extractive techniques for text selection.
Enhancing long-range contextual interactions via frequency-aware directional shifts for medical image segmentation,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
A multivariate long-term time-series prediction model for water quality based on Transformer architecture with spectral reconstruction optimizer,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Schedule adherence oriented traffic signal control for large-scale scheduled vehicle operations: A multi-agent reinforcement learning approach,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
NeuralMetric: An accurate and efficient real-time safety metric for automated driving systems,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Structure-aware context-enhanced and dual-path synergistic decoding network for atrophic gastritis segmentation,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Efficient spectral-temporal reconstruction of long-term satellite time series via temporal segments and mask-informed embedding,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
An addition interaction and frequency mamba enhanced detection transformer for photovoltaic cell surface defects,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Activity recommendation in business process modeling with dynamic graph neural network,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
TSBMNet-XAI interpretable multi-step offshore wind power forecasting for enhanced energy storage integration,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Fractal-guided multi-scale contrastive learning for robust liver tumor classification in ultrasound,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Multi-modality based future predictive representation learning for video anticipation captioning,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
CECF-Net: Imputation of missing values in carbon flux time series via context enhancement and cross-scale fusion,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Chaotic time series prediction based on attention-enhanced asynchronous optoelectronic reservoir computing,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Adaptive parallel physics-informed neural networks for forward and inverse problems of nonlocal multi-component Manakov systems in optical communications,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Residual-channel attention physics-informed neural network for surrogate modeling of a sodium-ion battery single-particle model,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Knowledge and data fusion-driven self-supervised learning for air handling unit fault diagnosis with limited labeled data,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Multi-Granularity Modal Interaction and Fusion framework for vision-language tasks,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Recent developments in Transformer inference deployment on FPGA platforms: A survey,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
TA-GAT: Temporal-adaptive graph attention network for multi-station photovoltaic power forecasting,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
